SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Vacant Land,6636 Longwalk Dr,Oakland,CA,94611,299000,,,Montclair,,18922,,1,Garage,22,Active,,,,,299000,,,http://www.redfin.com/CA/Oakland/6636-Longwalk-Dr-94611/home/103855398,East Bay Regional Data (EBRD),40729188,Alain Pinel REALTORS,N,Y,37.8252878,-122.1887857,FALSE
MLS Listing,Vacant Land,6642 Longwalk Dr,Oakland,CA,94611,249000,,,Montclair,,17143,,1,Garage,22,Active,,,,,249000,,,http://www.redfin.com/CA/Oakland/6642-Longwalk-Dr-94611/home/616106,East Bay Regional Data (EBRD),40729189,Alain Pinel REALTORS,N,Y,37.82598,-122.189382,FALSE
MLS Listing,Single Family Residential,974 42nd St,Oakland,CA,94608,899000,4,3,Oakland,2268,5000,,3,Garage,22,Active,,,,,899000,4/30/14,101000,http://www.redfin.com/CA/Oakland/974-42nd-St-94608/home/1029870,San Francisco Association of Realtors (SFARMLS),442166,,N,Y,37.832817,-122.274982,FALSE
MLS Listing,Single Family Residential,397 CRESTMONT Dr,Oakland,CA,94619,949000,4,3,Crestmont,1857,11392,1959,2,Garage,21,Active,,,,,949000,12/20/02,550000,http://www.redfin.com/CA/Oakland/397-Crestmont-Dr-94619/home/1936936,East Bay Regional Data (EBRD),40729232,LAWTON ASSOCIATES,N,Y,37.800308,-122.179679,FALSE
MLS Listing,Single Family Residential,103 DIABLO Dr,Oakland,CA,94611,1850000,4,5.5,Montclair,5416,8318,2008,2,Garage,21,Active,,,,,1850000,9/12/02,125000,http://www.redfin.com/CA/Oakland/103-Diablo-Dr-94611/home/22718447,East Bay Regional Data (EBRD),40729295,COLDWELL BANKER RESIDENTIAL,N,Y,37.846418,-122.199276,FALSE
MLS Listing,Single Family Residential,62nd Ave (Unable to map),Oakland,CA,94621,200000,1,1,Alameda County,,3075,1922,1,Garage,21,Active,,,,,200000,,,http://www.redfin.com/CA/Oakland/62nd-Ave-94605/home/18232043/ebrd-40729306,East Bay Regional Data (EBRD),40729306,Crestline Realty,N,Y,,,FALSE
MLS Listing,Single Family Residential,Undisclosed,Oakland,CA,94601,290000,1,1,Foothill,,5115,1923,0,,21,Active,,,,,290000,7/24/08,160000,http://www.redfin.com/CA/Oakland/Undisclosed-address-94601/home/1816776,East Bay Regional Data (EBRD),40729345,CR Realty & Mortgage,N,Y,,,FALSE
MLS Listing,Townhouse,3222 LINDEN St,Oakland,CA,94608,599900,3,3,West Oakland,1808,1727,2006,1,Garage,21,Active,,,,,599900,7/18/13,245000,http://www.redfin.com/CA/Oakland/3222-Linden-St-94608/home/2113299,East Bay Regional Data (EBRD),40729349,Intero Real Estate Services,N,Y,37.823722,-122.278377,FALSE
MLS Listing,Multi-Family (2-4 Unit),7927 MacArthur,Oakland,CA,94605,379000,5,4,Oakland,2351,7796,1944,4,Garage,21,Active,,,,2/25/16,379000,7/7/14,230000,http://www.redfin.com/CA/Oakland/7927-MacArthur-Blvd-94605/home/1930424,East Bay Regional Data (EBRD),40729351,PREMIER REAL ESTATE & FINANCIAL,N,Y,37.764748,-122.167145,FALSE
MLS Listing,Single Family Residential,3175 MONTEREY Blvd,Oakland,CA,94602,960000,4,4,Redwood Heights,3122,5272,1990,2,Garage,21,Active,,,,,960000,6/29/94,345000,http://www.redfin.com/CA/Oakland/3175-Monterey-Blvd-94602/home/1803656,East Bay Regional Data (EBRD),40729363,BHG HIGHLAND PARTNERS,N,Y,37.8061032,-122.1935113,FALSE
MLS Listing,Multi-Family (2-4 Unit),3246 Hyde St,Oakland,CA,94601,819995,8,4,Oakland,3352,6547,1959,8,Garage,21,Active,,,,,819995,,,http://www.redfin.com/CA/Oakland/3246-Hyde-St-94601/home/709814,East Bay Regional Data (EBRD),40729382,Bay Home Investments&Loans,N,Y,37.788122,-122.21953,FALSE
MLS Listing,Single Family Residential,8360 Golf Links Rd,Oakland,CA,94605,498500,3,1.5,Alameda County,,4000,1942,1,Garage,20,Active,,,,,,7/28/11,190000,http://www.redfin.com/CA/Oakland/8360-Golf-Links-Rd-94605/home/2025935,Bay Area Real Estate Information Services (BAREIS),21603058,"Ashmun and Associates, Inc",N,Y,37.762317,-122.161506,FALSE
MLS Listing,Multi-Family (2-4 Unit),Undisclosed,Oakland,CA,94609,799000,2,3,Oakland,1664,4178,1910,7,Garage,20,Active,,,,,799000,10/30/90,127500,http://www.redfin.com/CA/Oakland/Undisclosed-address-94609/home/1403632,East Bay Regional Data (EBRD),40729472,Park Place,N,Y,,,FALSE
MLS Listing,Multi-Family (2-4 Unit),2103 24th Ave,Oakland,CA,94601,688888,,,Oakland,2982,5913,1935,12,Garage,20,Active,,,,,688888,,,http://www.redfin.com/CA/Oakland/2103-24th-Ave-94601/home/103927153,East Bay Regional Data (EBRD),40728021,REALTY WORLD GOLDEN GATE,N,Y,37.787701,-122.22975,FALSE
MLS Listing,Single Family Residential,3316 ARKANSAS St,Oakland,CA,94602,525000,2,1,Oakland,1482,5000,1905,1,Garage,20,Active,,,,,525000,7/21/99,146500,http://www.redfin.com/CA/Oakland/3316-Arkansas-St-94602/home/540748,East Bay Regional Data (EBRD),40729485,COLDWELL BANKER RESIDENTIAL,N,Y,37.793562,-122.205847,FALSE
MLS Listing,Multi-Family (5+ Unit),6919 Lacey Ave,Oakland,CA,94605,990000,3,2,East Oakland,16990,8347,1927,1,Garage,20,Active,,,,,990000,8/18/10,180000,http://www.redfin.com/CA/Oakland/6919-Lacey-Ave-94605/home/1245850,East Bay Regional Data (EBRD),40729500,AA Group,N,Y,37.771066,-122.173904,FALSE
MLS Listing,Single Family Residential,2708 22ND Ave,Oakland,CA,94606,294500,2,1,E Oakland,1034,2775,1928,1,Garage,20,Active,,,,,294500,5/15/90,110000,http://www.redfin.com/CA/Oakland/2708-22nd-Ave-94606/home/528503,East Bay Regional Data (EBRD),40729536,Root & Associates Realty,N,Y,37.793932,-122.227444,FALSE
MLS Listing,Single Family Residential,5256 FOOTHILL Blvd,Oakland,CA,94601,449000,3,2,Lower Maxwell,1360,5000,1922,2,Garage,19,Active,,,,,449000,7/3/02,225000,http://www.redfin.com/CA/Oakland/5256-Foothill-Blvd-94601/home/1654752,East Bay Regional Data (EBRD),40729548,Re/Max Accord,N,Y,37.772899,-122.201576,FALSE
MLS Listing,Single Family Residential,5406 NORMANDIE Ave,Oakland,CA,94619,499000,2,1,Maxwell  Park,972,3600,1924,1,Garage,19,Active,,,,,499000,8/6/08,267357,http://www.redfin.com/CA/Oakland/5406-Normandie-Ave-94619/home/561678,East Bay Regional Data (EBRD),40729603,POINT REALTY,N,Y,37.777598,-122.190136,FALSE
MLS Listing,Single Family Residential,6242 BULLARD Dr,Oakland,CA,94611,1399000,3,3,Montclair,2931,10318,1954,2,Garage,19,Active,,,,,1399000,,,http://www.redfin.com/CA/Oakland/6242-Bullard-Dr-94611/home/1981851,East Bay Regional Data (EBRD),40729614,Pure Homes,N,Y,37.828464,-122.214392,FALSE
MLS Listing,Condo/Coop,742 Wesley Way Unit 3C,Oakland,CA,94610,525000,1,1,Oakland,900,,1981,1,,19,Active,,,,,525000,7/20/00,210000,http://www.redfin.com/CA/Oakland/742-Wesley-Way-94610/unit-3-C/home/102819549,San Francisco Association of Realtors (SFARMLS),442324,Pacific Union International Inc.,N,Y,37.8101295,-122.2431146,FALSE
MLS Listing,Single Family Residential,6645 ELVERTON Dr,Oakland,CA,94611,1549000,4,4.5,Montclair,4616,10012,2013,2,Garage,19,Active,,,,,1549000,10/29/11,700000,http://www.redfin.com/CA/Oakland/6645-Elverton-Dr-94611/home/22729445,East Bay Regional Data (EBRD),40729692,COLDWELL BANKER RESIDENTIAL,N,Y,37.8476061,-122.2027769,FALSE
MLS Listing,Single Family Residential,4236 SUTER St,Oakland,CA,94619,450000,2,1,Allendale,1034,3430,1920,0,,19,Active,,,,,399000,4/4/94,120000,http://www.redfin.com/CA/Oakland/4236-Suter-St-94619/home/1307057,East Bay Regional Data (EBRD),40729704,Re/Max Accord,N,Y,37.786363,-122.199092,FALSE
MLS Listing,Single Family Residential,5520 foothill Blvd,Oakland,CA,94605-1029,450000,3,2,East Oakland,,3000,1920,0,,18,Active,,,,,450000,2/9/15,172000,http://www.redfin.com/CA/Oakland/5520-Foothill-Blvd-94605/home/571960,East Bay Regional Data (EBRD),40729754,Bay Area Realty Investments,N,Y,37.77271,-122.19516,FALSE
MLS Listing,Multi-Family (2-4 Unit),1912 16th Ave,Oakland,CA,94606,718000,,,Oakland,3608,5250,1966,4,Garage,18,Active,,,,,718000,8/16/00,417000,http://www.redfin.com/CA/Oakland/1912-16th-Ave-94606/home/1432288,East Bay Regional Data (EBRD),40729764,P&A Realty,N,Y,37.791767,-122.240434,FALSE
MLS Listing,Single Family Residential,2809 38TH Ave,Oakland,CA,94619,325000,0,1.5,Allendale,1202,1660,1940,1,Garage,18,Active,,,,,325000,,,http://www.redfin.com/CA/Oakland/2809-38th-Ave-94619/home/103932175,East Bay Regional Data (EBRD),40729776,Better Homes Realty,N,Y,37.7864872,-122.2055788,FALSE
MLS Listing,Single Family Residential,3114 MAGNOLIA St,Oakland,CA,94608,500000,4,2.5,West Oakland,1248,3200,1893,0,,17,Active,,,,,500000,,,http://www.redfin.com/CA/Oakland/3114-Magnolia-St-94608/home/2040010,East Bay Regional Data (EBRD),40729794,BHG MASON MCDUFFIE REAL ESTATE,N,Y,37.82326,-122.2821347,TRUE
MLS Listing,Multi-Family (2-4 Unit),3235 Nicol,Oakland,CA,94602,629500,7,3,Oakland,2620,5336,1961,6,Garage,16,Active,,,,,629500,5/31/88,175000,http://www.redfin.com/CA/Oakland/3235-Nicol-Ave-94602/home/1688858,East Bay Regional Data (EBRD),40729810,CAPITAL REALTY GROUP,N,Y,37.791381,-122.212238,FALSE
MLS Listing,Single Family Residential,1707 86TH Ave,Oakland,CA,94621,195000,2,1,E Oakland,776,5000,1921,1,Garage,16,Active,,,,,195000,8/13/08,137000,http://www.redfin.com/CA/Oakland/1707-86th-Ave-94621/home/1412874,East Bay Regional Data (EBRD),40729880,BETTER HOMES REALTY/MCARTHR,N,Y,37.754768,-122.173343,FALSE
MLS Listing,Vacant Land,0 Monan St (Unable to map),Oakland,CA,94605,279800,,,Oakland,,44431,,1,Garage,16,Active,,,,,279800,,,http://www.redfin.com/CA/Oakland/Monan-St-94605/home/25657219,East Bay Regional Data (EBRD),40729890,BHHS Drysdale Properties,N,Y,,,FALSE
MLS Listing,Single Family Residential,7001 LACEY Ave,Oakland,CA,94605,325000,3,2,E Oakland,1344,7600,1927,0,,15,Active,,,,,325000,5/30/08,173000,http://www.redfin.com/CA/Oakland/7001-Lacey-Ave-94605/home/576721,East Bay Regional Data (EBRD),40729954,BETTER HOMES REALTY/MCARTHR,N,Y,37.770829,-122.17345,FALSE
MLS Listing,Single Family Residential,3628 Brown Ave,Oakland,CA,94619,427888,2,1,Laural,1596,3600,1918,1,Garage,15,Active,,,,3/5/16,458888,3/14/80,55000,http://www.redfin.com/CA/Oakland/3628-Brown-Ave-94619/home/1432829,East Bay Regional Data (EBRD),40729971,Team 1 Realty,N,Y,37.791918,-122.19808,FALSE
MLS Listing,Single Family Residential,3541 CUSTER St,Oakland,CA,94601,365000,2,1,Oakland,924,2700,1924,0,,15,Active,,,,,365000,10/31/12,140000,http://www.redfin.com/CA/Oakland/3541-Custer-St-94601/home/690867,East Bay Regional Data (EBRD),40729972,Realty World Golden Capital,N,Y,37.784745,-122.214034,FALSE
MLS Listing,Single Family Residential,3540 HARBOR VIEW Ave,Oakland,CA,94619,629000,2,2,Laurel,1596,8250,1916,0,,15,Active,,,,,629000,5/19/87,151000,http://www.redfin.com/CA/Oakland/3540-Harbor-View-Ave-94619/home/1809155,East Bay Regional Data (EBRD),40729975,THE GRUBB COMPANY,N,Y,37.796851,-122.193635,FALSE
MLS Listing,Multi-Family (2-4 Unit),2963 68th Ave,Oakland,CA,94605,439000,4,2,Oakland,1927,3290,1945,4,Garage,15,Active,,,,,439000,6/20/13,310000,http://www.redfin.com/CA/Oakland/2963-68th-Ave-94605/home/1992860,East Bay Regional Data (EBRD),40730003,RILEY-RILEY REAL ESTATE,N,Y,37.770875,-122.17698,FALSE
MLS Listing,Single Family Residential,3101 PARTRIDGE Ave,Oakland,CA,94605,568000,4,2,Eastmont Hills,1362,4564,1939,1,Garage,15,Active,3/12/16,13:00,16:00,,568000,7/27/12,365000,http://www.redfin.com/CA/Oakland/3101-Partridge-Ave-94605/home/2040553,East Bay Regional Data (EBRD),40730015,Amy Fox Real Estate,N,Y,37.765326,-122.161869,FALSE
MLS Listing,Vacant Land,17014 BROADWAY Ter,Oakland,CA,94611-1035,589000,,,Montclair,,22572,,1,Garage,14,Active,,,,,589000,,,http://www.redfin.com/CA/Oakland/17014-Broadway-Ter-94611/home/22662168,East Bay Regional Data (EBRD),40730026,"Gerry Bakalian, Broker",N,Y,37.848177,-122.213914,FALSE
MLS Listing,Single Family Residential,4243 NORTON Ave,Oakland,CA,94602,849000,3,2,Redwood Heights,2362,14407,1948,1,Garage,14,Active,,,,,849000,2/17/71,36000,http://www.redfin.com/CA/Oakland/4243-Norton-Ave-94602/home/1871819,East Bay Regional Data (EBRD),40730027,RED OAK REALTY,N,Y,37.802042,-122.194812,FALSE
MLS Listing,Single Family Residential,1047 85th Ave,Oakland,CA,94621,499900,6,4,Oakland,2310,5720,1942,1,Garage,14,Active,,,,,499900,12/31/92,78500,http://www.redfin.com/CA/Oakland/1047-85th-Ave-94621/home/944732,East Bay Regional Data (EBRD),40730116,Progressive Home Corp.,N,Y,37.750903,-122.182961,FALSE
MLS Listing,Single Family Residential,1806 8TH Ave,Oakland,CA,94606,649000,3,2,Clinton Park,1424,2500,1904,1,Garage,14,Active,,,,,649000,4/2/15,320000,http://www.redfin.com/CA/Oakland/1806-8th-Ave-94606/home/909221,East Bay Regional Data (EBRD),40730126,ERA MICHAEL JAMES CO.,N,Y,37.79614,-122.247291,FALSE
