address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2256 High St,Oakland  CA 94601,3,2.0,1120,1915,37.779137,-122.206956,,,http://www.zillow.com/homedetails/2256-High-St-Oakland-CA-94601/24777489_zpid/,http://www.zillow.com/homedetails/2256-High-St-Oakland-CA-94601/24777489_zpid/#charts-and-data,http://www.zillow.com/homes/24777489_zpid/,http://www.zillow.com/homes/comps/24777489_zpid/,24777489,446253,03/13/2016,,,0.175257895689,430000,11/25/2015,6.0
4410 San Carlos Ave,Oakland  CA 94601,2,1.0,879,1904,37.778303,-122.207513,,,http://www.zillow.com/homedetails/4410-San-Carlos-Ave-Oakland-CA-94601/24777498_zpid/,http://www.zillow.com/homedetails/4410-San-Carlos-Ave-Oakland-CA-94601/24777498_zpid/#charts-and-data,http://www.zillow.com/homes/24777498_zpid/,http://www.zillow.com/homes/comps/24777498_zpid/,24777498,239655,03/13/2016,,,0.124246310596,300000,09/29/2015,3.0
2421 High St,Oakland  CA 94601,2,1.0,1130,1923,37.781267,-122.205774,,,http://www.zillow.com/homedetails/2421-High-St-Oakland-CA-94601/24778102_zpid/,http://www.zillow.com/homedetails/2421-High-St-Oakland-CA-94601/24778102_zpid/#charts-and-data,http://www.zillow.com/homes/24778102_zpid/,http://www.zillow.com/homes/comps/24778102_zpid/,24778102,398284,03/13/2016,,,0.326618019257,415000,11/18/2015,4.0
4202 Aqua Vista St,Oakland  CA 94601,3,1.0,888,1911,37.781043,-122.206387,,,http://www.zillow.com/homedetails/4202-Aqua-Vista-St-Oakland-CA-94601/24778109_zpid/,http://www.zillow.com/homedetails/4202-Aqua-Vista-St-Oakland-CA-94601/24778109_zpid/#charts-and-data,http://www.zillow.com/homes/24778109_zpid/,http://www.zillow.com/homes/comps/24778109_zpid/,24778109,354283,03/13/2016,,,0.307325959973,375000,10/26/2015,3.0
principal_arv,mao_light,mao_med,mao_high
380000,217820.0,208340.0,194120.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2240 88TH Ave,Oakland  CA 94605,2,1.0,1450,1939,37.755218,-122.165786,http://www.redfin.com/CA/Oakland/2240-88th-Ave-94605/home/1856232,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24798801,http://www.zillow.com/homedetails/2240-88th-Ave-Oakland-CA-94605/24798801_zpid/,http://www.zillow.com/homedetails/2240-88th-Ave-Oakland-CA-94605/24798801_zpid/#charts-and-data,http://www.zillow.com/homes/24798801_zpid/,http://www.zillow.com/homes/comps/24798801_zpid/,24798801,325602,03/13/2016,2300,03/14/2016,0
2326 81st Ave,Oakland  CA 94605,3,1.0,1231,1926,37.76153,-122.168657,,,http://www.zillow.com/homedetails/2326-81st-Ave-Oakland-CA-94605/24792464_zpid/,http://www.zillow.com/homedetails/2326-81st-Ave-Oakland-CA-94605/24792464_zpid/#charts-and-data,http://www.zillow.com/homes/24792464_zpid/,http://www.zillow.com/homes/comps/24792464_zpid/,24792464,327549,03/13/2016,,,0.463457199758,410000,01/08/2016,6.0
1669 87th Ave,Oakland  CA 94621,3,1.0,1200,1926,37.75327,-122.172951,,,http://www.zillow.com/homedetails/1669-87th-Ave-Oakland-CA-94621/24798269_zpid/,http://www.zillow.com/homedetails/1669-87th-Ave-Oakland-CA-94621/24798269_zpid/#charts-and-data,http://www.zillow.com/homes/24798269_zpid/,http://www.zillow.com/homes/comps/24798269_zpid/,24798269,275089,03/13/2016,,,0.413905370382,315000,12/23/2015,3.0
1610 88th Ave,Oakland  CA 94621,3,1.5,1234,1910,37.752003,-122.172735,,,http://www.zillow.com/homedetails/1610-88th-Ave-Oakland-CA-94621/24798343_zpid/,http://www.zillow.com/homedetails/1610-88th-Ave-Oakland-CA-94621/24798343_zpid/#charts-and-data,http://www.zillow.com/homes/24798343_zpid/,http://www.zillow.com/homes/comps/24798343_zpid/,24798343,316994,03/13/2016,,,0.439830290435,310000,02/10/2016,4.0
principal_arv,mao_light,mao_med,mao_high
345000,175750.0,161250.0,139500.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2928 Short St,Oakland  CA 94619,3,2.0,1090,1923,37.787937,-122.205225,http://www.redfin.com/CA/Oakland/2928-Short-St-94619/home/1975106,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24777641,http://www.zillow.com/homedetails/2928-Short-St-Oakland-CA-94619/24777641_zpid/,http://www.zillow.com/homedetails/2928-Short-St-Oakland-CA-94619/24777641_zpid/#charts-and-data,http://www.zillow.com/homes/24777641_zpid/,http://www.zillow.com/homes/comps/24777641_zpid/,24777641,467069,03/13/2016,2550,03/14/2016,0
3181 Texas St,Oakland  CA 94602,2,1.0,1000,1921,37.793803,-122.209021,,,http://www.zillow.com/homedetails/3181-Texas-St-Oakland-CA-94602/24769799_zpid/,http://www.zillow.com/homedetails/3181-Texas-St-Oakland-CA-94602/24769799_zpid/#charts-and-data,http://www.zillow.com/homes/24769799_zpid/,http://www.zillow.com/homes/comps/24769799_zpid/,24769799,467591,03/13/2016,,,0.455222687239,445000,11/19/2015,5.0
3200 School St,Oakland  CA 94602,2,1.0,992,1921,37.793808,-122.209812,,,http://www.zillow.com/homedetails/3200-School-St-Oakland-CA-94602/24769807_zpid/,http://www.zillow.com/homedetails/3200-School-St-Oakland-CA-94602/24769807_zpid/#charts-and-data,http://www.zillow.com/homes/24769807_zpid/,http://www.zillow.com/homes/comps/24769807_zpid/,24769807,443328,03/13/2016,,,0.476735312661,475000,12/01/2015,5.0
3236 Suter St,Oakland  CA 94602,2,1.0,1008,1926,37.793817,-122.207366,,,http://www.zillow.com/homedetails/3236-Suter-St-Oakland-CA-94602/24769840_zpid/,http://www.zillow.com/homedetails/3236-Suter-St-Oakland-CA-94602/24769840_zpid/#charts-and-data,http://www.zillow.com/homes/24769840_zpid/,http://www.zillow.com/homes/comps/24769840_zpid/,24769840,512813,03/13/2016,,,0.42275226872,550000,12/15/2015,6.0
3228 Delaware St,Oakland  CA 94602,2,2.0,1093,1923,37.794391,-122.204449,,,http://www.zillow.com/homedetails/3228-Delaware-St-Oakland-CA-94602/24770222_zpid/,http://www.zillow.com/homedetails/3228-Delaware-St-Oakland-CA-94602/24770222_zpid/#charts-and-data,http://www.zillow.com/homes/24770222_zpid/,http://www.zillow.com/homes/comps/24770222_zpid/,24770222,513716,03/13/2016,,,0.447935863499,565000,01/21/2016,5.0
3442 Suter St,Oakland  CA 94602,2,1.0,1000,1926,37.791804,-122.204991,,,http://www.zillow.com/homedetails/3442-Suter-St-Oakland-CA-94602/24770271_zpid/,http://www.zillow.com/homedetails/3442-Suter-St-Oakland-CA-94602/24770271_zpid/#charts-and-data,http://www.zillow.com/homes/24770271_zpid/,http://www.zillow.com/homes/comps/24770271_zpid/,24770271,449408,03/13/2016,,,0.267488694023,421500,02/02/2016,5.0
principal_arv,mao_light,mao_med,mao_high
491300,290760.0,279860.0,263510.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3224 BONA St,Oakland  CA 94601,2,1.0,1008,1926,37.790909,-122.21459,http://www.redfin.com/CA/Oakland/3224-Bona-St-94601/home/539162,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24768599,http://www.zillow.com/homedetails/3224-Bona-St-Oakland-CA-94601/24768599_zpid/,http://www.zillow.com/homedetails/3224-Bona-St-Oakland-CA-94601/24768599_zpid/#charts-and-data,http://www.zillow.com/homes/24768599_zpid/,http://www.zillow.com/homes/comps/24768599_zpid/,24768599,448095,03/13/2016,2350,03/14/2016,0
2820 Montana St,Oakland  CA 94602,2,1.0,864,1921,37.79692,-122.209652,,,http://www.zillow.com/homedetails/2820-Montana-St-Oakland-CA-94602/24769654_zpid/,http://www.zillow.com/homedetails/2820-Montana-St-Oakland-CA-94602/24769654_zpid/#charts-and-data,http://www.zillow.com/homes/24769654_zpid/,http://www.zillow.com/homes/comps/24769654_zpid/,24769654,474400,03/13/2016,,,0.495155570843,440000,10/16/2015,2.0
2604 26th Ave,Oakland  CA 94601,2,1.0,1084,1908,37.790583,-122.223146,,,http://www.zillow.com/homedetails/2604-26th-Ave-Oakland-CA-94601/24766902_zpid/,http://www.zillow.com/homedetails/2604-26th-Ave-Oakland-CA-94601/24766902_zpid/#charts-and-data,http://www.zillow.com/homes/24766902_zpid/,http://www.zillow.com/homes/comps/24766902_zpid/,24766902,417568,03/13/2016,,,0.467710304413,325000,01/19/2016,6.0
3057 Lynde St,Oakland  CA 94601,3,1.0,1120,1922,37.7906,-122.218232,,,http://www.zillow.com/homedetails/3057-Lynde-St-Oakland-CA-94601/24767995_zpid/,http://www.zillow.com/homedetails/3057-Lynde-St-Oakland-CA-94601/24767995_zpid/#charts-and-data,http://www.zillow.com/homes/24767995_zpid/,http://www.zillow.com/homes/comps/24767995_zpid/,24767995,420074,03/13/2016,,,0.200000238616,525000,12/15/2015,4.0
3080 Lynde St,Oakland  CA 94601,3,1.5,1196,1906,37.790812,-122.217855,,,http://www.zillow.com/homedetails/3080-Lynde-St-Oakland-CA-94601/24768069_zpid/,http://www.zillow.com/homedetails/3080-Lynde-St-Oakland-CA-94601/24768069_zpid/#charts-and-data,http://www.zillow.com/homes/24768069_zpid/,http://www.zillow.com/homes/comps/24768069_zpid/,24768069,471052,03/13/2016,,,0.178398480733,525000,01/15/2016,6.0
2931 E 29th St,Oakland  CA 94601,2,1.0,896,1919,37.791513,-122.21874,,,http://www.zillow.com/homedetails/2931-E-29th-St-Oakland-CA-94601/24768081_zpid/,http://www.zillow.com/homedetails/2931-E-29th-St-Oakland-CA-94601/24768081_zpid/#charts-and-data,http://www.zillow.com/homes/24768081_zpid/,http://www.zillow.com/homes/comps/24768081_zpid/,24768081,398973,03/13/2016,,,0.230404356056,445000,01/28/2016,2.0
3028 Brookdale Ave,Oakland  CA 94602,3,2.0,1002,1913,37.792147,-122.215106,,,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/#charts-and-data,http://www.zillow.com/homes/24768195_zpid/,http://www.zillow.com/homes/comps/24768195_zpid/,24768195,442376,03/13/2016,,,0.0900578194099,384000,01/29/2016,4.0
3066 Berlin Way,Oakland  CA 94602,2,1.0,870,1926,37.791821,-122.209184,,,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/#charts-and-data,http://www.zillow.com/homes/24768498_zpid/,http://www.zillow.com/homes/comps/24768498_zpid/,24768498,468547,03/13/2016,,,0.301822506068,425000,12/11/2015,2.0
principal_arv,mao_light,mao_med,mao_high
438428,256619.6,246539.6,231419.6

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
300 CALDECOTT Ln #309,Oakland  CA 94618,1,1.0,853,1998,37.856561,-122.221609,http://www.redfin.com/CA/Oakland/300-Caldecott-Ln-94618/unit-309/home/1497225,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24819714,http://www.zillow.com/homedetails/300-Caldecott-Ln-UNIT-309-Oakland-CA-94618/24819714_zpid/,http://www.zillow.com/homedetails/300-Caldecott-Ln-UNIT-309-Oakland-CA-94618/24819714_zpid/#charts-and-data,http://www.zillow.com/homes/24819714_zpid/,http://www.zillow.com/homes/comps/24819714_zpid/,24819714,413766,03/13/2016,2450,03/14/2016,0
260 Caldecott Ln UNIT 101,Oakland  CA 94618,1,1.0,728,1997,37.858605,-122.221288,,,http://www.zillow.com/homedetails/260-Caldecott-Ln-UNIT-101-Oakland-CA-94618/24819549_zpid/,http://www.zillow.com/homedetails/260-Caldecott-Ln-UNIT-101-Oakland-CA-94618/24819549_zpid/#charts-and-data,http://www.zillow.com/homes/24819549_zpid/,http://www.zillow.com/homes/comps/24819549_zpid/,24819549,380115,03/13/2016,,,0.142307971066,382000,11/30/2015,2.0
260 Caldecott Ln UNIT 126,Oakland  CA 94618,1,1.0,728,1997,37.858497,-122.22097,,,http://www.zillow.com/homedetails/260-Caldecott-Ln-UNIT-126-Oakland-CA-94618/24819570_zpid/,http://www.zillow.com/homedetails/260-Caldecott-Ln-UNIT-126-Oakland-CA-94618/24819570_zpid/#charts-and-data,http://www.zillow.com/homes/24819570_zpid/,http://www.zillow.com/homes/comps/24819570_zpid/,24819570,382508,03/13/2016,,,0.138231838064,380000,09/17/2015,2.0
300 Caldecott Ln UNIT 216,Oakland  CA 94618,1,1.0,773,1998,37.856655,-122.221069,,,http://www.zillow.com/homedetails/300-Caldecott-Ln-UNIT-216-Oakland-CA-94618/24819707_zpid/,http://www.zillow.com/homedetails/300-Caldecott-Ln-UNIT-216-Oakland-CA-94618/24819707_zpid/#charts-and-data,http://www.zillow.com/homes/24819707_zpid/,http://www.zillow.com/homes/comps/24819707_zpid/,24819707,383081,03/13/2016,,,0.0301657951838,368500,10/02/2015,2.0
320 Caldecott Ln UNIT 123,Oakland  CA 94618,1,1.0,773,1998,37.855835,-122.220849,,,http://www.zillow.com/homedetails/320-Caldecott-Ln-UNIT-123-Oakland-CA-94618/24819743_zpid/,http://www.zillow.com/homedetails/320-Caldecott-Ln-UNIT-123-Oakland-CA-94618/24819743_zpid/#charts-and-data,http://www.zillow.com/homes/24819743_zpid/,http://www.zillow.com/homes/comps/24819743_zpid/,24819743,385447,03/13/2016,,,0.065077892595,385000,11/25/2015,1.0
principal_arv,mao_light,mao_med,mao_high
378875,220357.5,211827.5,199032.5

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2916 Harrison St,OAKLAND  CA 94611,2,1.0,1022,1912,37.816268,-122.258266,http://www.redfin.com/CA/Oakland/2916-Harrison-St-94611/home/530562,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24743501,http://www.zillow.com/homedetails/2916-Harrison-St-Oakland-CA-94611/24743501_zpid/,http://www.zillow.com/homedetails/2916-Harrison-St-Oakland-CA-94611/24743501_zpid/#charts-and-data,http://www.zillow.com/homes/24743501_zpid/,http://www.zillow.com/homes/comps/24743501_zpid/,24743501,715793,03/13/2016,3100,03/14/2016,0
2830 Richmond Ave,Oakland  CA 94611,2,1.0,1123,1914,37.816648,-122.261341,,,http://www.zillow.com/homedetails/2830-Richmond-Ave-Oakland-CA-94611/24741431_zpid/,http://www.zillow.com/homedetails/2830-Richmond-Ave-Oakland-CA-94611/24741431_zpid/#charts-and-data,http://www.zillow.com/homes/24741431_zpid/,http://www.zillow.com/homes/comps/24741431_zpid/,24741431,659478,03/13/2016,,,0.169881327101,711000,12/18/2015,1.0
3616 Richmond Blvd,Oakland  CA 94611,3,1.0,1198,1914,37.821984,-122.256096,,,http://www.zillow.com/homedetails/3616-Richmond-Blvd-Oakland-CA-94611/24744049_zpid/,http://www.zillow.com/homedetails/3616-Richmond-Blvd-Oakland-CA-94611/24744049_zpid/#charts-and-data,http://www.zillow.com/homes/24744049_zpid/,http://www.zillow.com/homes/comps/24744049_zpid/,24744049,721779,03/13/2016,,,0.41231393918,649000,12/04/2015,4.0
425 28th St UNIT 201A,Oakland  CA 94609,1,1.5,1210,2004,37.816284,-122.266044,,,http://www.zillow.com/homedetails/425-28th-St-UNIT-201A-Oakland-CA-94609/63083748_zpid/,http://www.zillow.com/homedetails/425-28th-St-UNIT-201A-Oakland-CA-94609/63083748_zpid/#charts-and-data,http://www.zillow.com/homes/63083748_zpid/,http://www.zillow.com/homes/comps/63083748_zpid/,63083748,460385,03/13/2016,,,0.424542566531,468000,10/15/2015,10.0
principal_arv,mao_light,mao_med,mao_high
609333,375763.1,365543.1,350213.1

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
978 ARLINGTON Ave,Oakland  CA 94608,3,2.0,1755,1938,37.842099,-122.277954,http://www.redfin.com/CA/Oakland/978-Arlington-Ave-94608/home/1970037,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24754378,http://www.zillow.com/homedetails/978-Arlington-Ave-Oakland-CA-94608/24754378_zpid/,http://www.zillow.com/homedetails/978-Arlington-Ave-Oakland-CA-94608/24754378_zpid/#charts-and-data,http://www.zillow.com/homes/24754378_zpid/,http://www.zillow.com/homes/comps/24754378_zpid/,24754378,718902,03/13/2016,3200,03/14/2016,0
979 54th St,Oakland  CA 94608,4,2.0,1750,1916,37.83819,-122.277237,,,http://www.zillow.com/homedetails/979-54th-St-Oakland-CA-94608/24752059_zpid/,http://www.zillow.com/homedetails/979-54th-St-Oakland-CA-94608/24752059_zpid/#charts-and-data,http://www.zillow.com/homes/24752059_zpid/,http://www.zillow.com/homes/comps/24752059_zpid/,24752059,812225,03/13/2016,,,0.272904120851,820000,11/25/2015,3.0
833 58th St,Oakland  CA 94608,3,2.0,1510,1911,37.843095,-122.271567,,,http://www.zillow.com/homedetails/833-58th-St-Oakland-CA-94608/24754095_zpid/,http://www.zillow.com/homedetails/833-58th-St-Oakland-CA-94608/24754095_zpid/#charts-and-data,http://www.zillow.com/homes/24754095_zpid/,http://www.zillow.com/homes/comps/24754095_zpid/,24754095,726807,03/13/2016,,,0.355222458968,830000,10/01/2015,4.0
5712 Adeline St,Oakland  CA 94608,3,2.0,1537,1915,37.841965,-122.273862,,,http://www.zillow.com/homedetails/5712-Adeline-St-Oakland-CA-94608/24754248_zpid/,http://www.zillow.com/homedetails/5712-Adeline-St-Oakland-CA-94608/24754248_zpid/#charts-and-data,http://www.zillow.com/homes/24754248_zpid/,http://www.zillow.com/homes/comps/24754248_zpid/,24754248,727380,03/13/2016,,,0.223464701403,560000,02/17/2016,4.0
principal_arv,mao_light,mao_med,mao_high
736666,439241.2,421691.2,395366.2

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2003 MYRTLE St,Oakland  CA 94607,4,1.0,1584,1896,37.812973,-122.280671,http://www.redfin.com/CA/Oakland/2003-Myrtle-St-94607/home/1698038,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24739620,http://www.zillow.com/homedetails/2003-Myrtle-St-Oakland-CA-94607/24739620_zpid/,http://www.zillow.com/homedetails/2003-Myrtle-St-Oakland-CA-94607/24739620_zpid/#charts-and-data,http://www.zillow.com/homes/24739620_zpid/,http://www.zillow.com/homes/comps/24739620_zpid/,24739620,602468,03/13/2016,3000,03/14/2016,0
836 E 20th St,Oakland  CA 94606,3,1.0,1327,1895,37.812032,-122.277709,,,http://www.zillow.com/homedetails/836-E-20th-St-Oakland-CA-94606/24738533_zpid/,http://www.zillow.com/homedetails/836-E-20th-St-Oakland-CA-94606/24738533_zpid/#charts-and-data,http://www.zillow.com/homes/24738533_zpid/,http://www.zillow.com/homes/comps/24738533_zpid/,24738533,547332,03/13/2016,,,0.174263959726,518000,01/27/2016,4.0
1131 Linden St,OAKLAND  CA 94607,4,2.0,1874,1974,37.807483,-122.284837,,,http://www.zillow.com/homedetails/1131-Linden-St-Oakland-CA-94607/24738706_zpid/,http://www.zillow.com/homedetails/1131-Linden-St-Oakland-CA-94607/24738706_zpid/#charts-and-data,http://www.zillow.com/homes/24738706_zpid/,http://www.zillow.com/homes/comps/24738706_zpid/,24738706,666620,03/13/2016,,,0.442266337559,617500,10/06/2015,4.0
1012 Linden St,Oakland  CA 94607,4,2.0,1545,1973,37.806475,-122.284582,,,http://www.zillow.com/homedetails/1012-Linden-St-Oakland-CA-94607/24738743_zpid/,http://www.zillow.com/homedetails/1012-Linden-St-Oakland-CA-94607/24738743_zpid/#charts-and-data,http://www.zillow.com/homes/24738743_zpid/,http://www.zillow.com/homes/comps/24738743_zpid/,24738743,607729,03/13/2016,,,0.497141815951,560000,02/02/2016,3.0
1116 16th St,Oakland  CA 94607,3,2.0,1520,1980,37.811171,-122.285025,,,http://www.zillow.com/homedetails/1116-16th-St-Oakland-CA-94607/24739494_zpid/,http://www.zillow.com/homedetails/1116-16th-St-Oakland-CA-94607/24739494_zpid/#charts-and-data,http://www.zillow.com/homes/24739494_zpid/,http://www.zillow.com/homes/comps/24739494_zpid/,24739494,553727,03/13/2016,,,0.268302656477,535000,10/27/2015,5.0
986 18th St,Oakland  CA 94607,3,2.0,1754,1908,37.811804,-122.281633,,,http://www.zillow.com/homedetails/986-18th-St-Oakland-CA-94607/24739633_zpid/,http://www.zillow.com/homedetails/986-18th-St-Oakland-CA-94607/24739633_zpid/#charts-and-data,http://www.zillow.com/homes/24739633_zpid/,http://www.zillow.com/homes/comps/24739633_zpid/,24739633,601238,03/13/2016,,,0.0963388908952,795000,12/11/2015,7.0
principal_arv,mao_light,mao_med,mao_high
605100,353130.0,337290.0,313530.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
3532 Lyon Ave,OAKLAND  CA 94601,2,1.0,1084,1925,37.786618,-122.211139,http://www.redfin.com/CA/Oakland/3532-Lyon-Ave-94601/home/554199,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24779040,http://www.zillow.com/homedetails/3532-Lyon-Ave-Oakland-CA-94601/24779040_zpid/,http://www.zillow.com/homedetails/3532-Lyon-Ave-Oakland-CA-94601/24779040_zpid/#charts-and-data,http://www.zillow.com/homes/24779040_zpid/,http://www.zillow.com/homes/comps/24779040_zpid/,24779040,460888,03/13/2016,2300,03/14/2016,0
3057 Lynde St,Oakland  CA 94601,3,1.0,1120,1922,37.7906,-122.218232,,,http://www.zillow.com/homedetails/3057-Lynde-St-Oakland-CA-94601/24767995_zpid/,http://www.zillow.com/homedetails/3057-Lynde-St-Oakland-CA-94601/24767995_zpid/#charts-and-data,http://www.zillow.com/homes/24767995_zpid/,http://www.zillow.com/homes/comps/24767995_zpid/,24767995,420074,03/13/2016,,,0.475073906691,525000,12/15/2015,5.0
3080 Lynde St,Oakland  CA 94601,3,1.5,1196,1906,37.790812,-122.217855,,,http://www.zillow.com/homedetails/3080-Lynde-St-Oakland-CA-94601/24768069_zpid/,http://www.zillow.com/homedetails/3080-Lynde-St-Oakland-CA-94601/24768069_zpid/#charts-and-data,http://www.zillow.com/homes/24768069_zpid/,http://www.zillow.com/homes/comps/24768069_zpid/,24768069,471052,03/13/2016,,,0.467384182795,525000,01/15/2016,6.0
3028 Brookdale Ave,Oakland  CA 94602,3,2.0,1002,1913,37.792147,-122.215106,,,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/,http://www.zillow.com/homedetails/3028-Brookdale-Ave-Oakland-CA-94602/24768195_zpid/#charts-and-data,http://www.zillow.com/homes/24768195_zpid/,http://www.zillow.com/homes/comps/24768195_zpid/,24768195,442376,03/13/2016,,,0.439152528584,384000,01/29/2016,6.0
3066 Berlin Way,Oakland  CA 94602,2,1.0,870,1926,37.791821,-122.209184,,,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/,http://www.zillow.com/homedetails/3066-Berlin-Way-Oakland-CA-94602/24768498_zpid/#charts-and-data,http://www.zillow.com/homes/24768498_zpid/,http://www.zillow.com/homes/comps/24768498_zpid/,24768498,468547,03/13/2016,,,0.37500591479,425000,12/11/2015,3.0
principal_arv,mao_light,mao_med,mao_high
464750,272385.0,261545.0,245285.0

address, citystatezip, beds, baths, sqfootage, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, sold price, sold date, comp score
2314 MYRTLE St,Oakland  CA 94607,4,2.0,1519,1909,37.815632,-122.279049,http://www.redfin.com/CA/Oakland/2314-Myrtle-St-94607/home/676302,http://www.zillow.com/app?chartDuration=1year&chartType=partner&page=webservice%2FGetChart&service=chart&zpid=24739720,http://www.zillow.com/homedetails/2314-Myrtle-St-Oakland-CA-94607/24739720_zpid/,http://www.zillow.com/homedetails/2314-Myrtle-St-Oakland-CA-94607/24739720_zpid/#charts-and-data,http://www.zillow.com/homes/24739720_zpid/,http://www.zillow.com/homes/comps/24739720_zpid/,24739720,405597,03/13/2016,2950,03/14/2016,0
865 W Grand Ave,Oakland  CA 94607,3,2.0,1350,1939,37.81395,-122.2775,,,http://www.zillow.com/homedetails/865-W-Grand-Ave-Oakland-CA-94607/2099564778_zpid/,http://www.zillow.com/homedetails/746-Richmond-St-El-Cerrito-CA-94530/18527621_zpid/#charts-and-data,http://www.zillow.com/homes/2099564778_zpid/,http://www.zillow.com/homes/comps/2099564778_zpid/,2099564778,528530,03/13/2016,,,0.143716793039,685000,12/17/2015,8.0
836 E 20th St,Oakland  CA 94606,3,1.0,1327,1895,37.812032,-122.277709,,,http://www.zillow.com/homedetails/836-E-20th-St-Oakland-CA-94606/24738533_zpid/,http://www.zillow.com/homedetails/836-E-20th-St-Oakland-CA-94606/24738533_zpid/#charts-and-data,http://www.zillow.com/homes/24738533_zpid/,http://www.zillow.com/homes/comps/24738533_zpid/,24738533,547332,03/13/2016,,,0.259266655799,518000,01/27/2016,6.0
1116 16th St,Oakland  CA 94607,3,2.0,1520,1980,37.811171,-122.285025,,,http://www.zillow.com/homedetails/1116-16th-St-Oakland-CA-94607/24739494_zpid/,http://www.zillow.com/homedetails/1116-16th-St-Oakland-CA-94607/24739494_zpid/#charts-and-data,http://www.zillow.com/homes/24739494_zpid/,http://www.zillow.com/homes/comps/24739494_zpid/,24739494,553727,03/13/2016,,,0.448783527628,535000,10/27/2015,7.0
986 18th St,Oakland  CA 94607,3,2.0,1754,1908,37.811804,-122.281633,,,http://www.zillow.com/homedetails/986-18th-St-Oakland-CA-94607/24739633_zpid/,http://www.zillow.com/homedetails/986-18th-St-Oakland-CA-94607/24739633_zpid/#charts-and-data,http://www.zillow.com/homes/24739633_zpid/,http://www.zillow.com/homes/comps/24739633_zpid/,24739633,601238,03/13/2016,,,0.299746791812,795000,12/11/2015,11.0
