"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","S","ML81519467","1272 Martin Avenue","$1,250,000","56","4","3|0","2,272","7,000 SqFt","San Jose","Res. Single Family","99"
"1","S","ML81520965","1937 Borchers Drive","$1,250,000","10","3","2|0","1,846","8,199 SqFt","San Jose","Res. Single Family","60"
"1","S","ML81533626","14879 Elton Drive","$1,250,000","15","3","2|0","1,905","9,375 SqFt","San Jose","Res. Single Family","65"
"1","S","ML81534021","1633 Fairorchard Avenue","$1,250,000","19","4","2|0","1,656","6,489 SqFt","San Jose","Res. Single Family","55"
"1","P","ML81546169","5779 Capilano Drive","$1,250,000","9","6","4|1","3,293","6,778 SqFt","San Jose","Res. Single Family","19"
"1","S","ML81550451","1119 Pine Avenue","$1,250,000","7","3","2|0","1,979","6,891 SqFt","San Jose","Res. Single Family","81"
"1","S","ML81550787","6192 Silberman Drive","$1,250,000","10","4","2|1","2,153","7,370 SqFt","San Jose","Res. Single Family","44"
"1","S","ML81561543","4751 Eastus Drive","$1,250,000","25","4","2|0","1,721","5,861 SqFt","San Jose","Res. Single Family","52"
"1","A","ML81562416","3333 BEL MIRA Drive","$1,250,000","40","4","3|0","2,040","5,200 SqFt","San Jose","Res. Single Family","19"
"1","P","ML81565235","3337 Villa Contessa Court","$1,250,000","11","4","3|1","2,873","4,234 SqFt","San Jose","Res. Single Family","11"
"1","P","ML81565296","6579 Gardenoak Court","$1,250,000","7","5","2|1","2,177","6,996 SqFt","San Jose","Res. Single Family","37"
"1","A","ML81577798","2437 Booksin Avenue","$1,250,000","6","4","2|0","1,656","6,180 SqFt","San Jose","Res. Single Family","56"
"1","A","ML81578055","6587 Alta Paseo Court","$1,250,000","5","5","3|0","2,450","7,906 SqFt","San Jose","Res. Single Family","37"
"1","A","ML81578370","1688 Isabel Drive","$1,250,000","2","5","3|0","2,247","8,712 SqFt","San Jose","Res. Single Family","59"
"1","A","ML81578601","1354 Trestlewood Lane","$1,250,000","1","5","3|0","2,810","3,916 SqFt","San Jose","Res. Single Family","12"
"1","P","ML81562945","1570 Alisal Avenue","$1,249,000","14","5","3|0","1,880","6,181 SqFt","San Jose","Res. Single Family","53"
"1","P","ML81563002","5064 Kingston Way","$1,249,000","10","3","2|0","1,597","6,330 SqFt","San Jose","Res. Single Family","56"
"1","P","ML81563527","5954 Allen Avenue","$1,249,000","6","5","3|1","3,864","5,885 SqFt","San Jose","Res. Single Family","14"
"1","AC","ML81564780","6052 Cecala Drive","$1,249,000","17","5","3|0","2,234","8,320 SqFt","San Jose","Res. Single Family","44"
"1","P","ML81565253","1622 Montemar Way","$1,249,000","14","4","2|1","1,751","6,499 SqFt","San Jose","Res. Single Family","60"
"1","A","ML81576840","4660 Blanco Drive","$1,249,000","13","3","2|0","1,341","7,318 SqFt","San Jose","Res. Single Family","52"
"1","P","ML81564992","1910 Castro Drive","$1,248,888","15","3","2|0","1,333","5,998 SqFt","San Jose","Res. Single Family","49"
"1","S","ML81546115","531 Falcon Place","$1,248,000","6","4","2|1","2,391","3,141 SqFt","San Jose","Res. Single Family","9"
"1","P","ML81562137","1234 Naglee Avenue","$1,248,000","18","3","1|0","1,460","12,369 SqFt","San Jose","Res. Single Family","84"
"1","A","ML81549267","5257 Manderston Drive","$1,245,000","63","3","2|1","2,005","3,049 SqFt","San Jose","Res. Single Family","17"
"1","AC","ML81549776","5463 Manderston Drive","$1,245,000","48","4","3|0","2,213","4,835 SqFt","San Jose","Res. Single Family","18"
"1","S","ML81533707","1382 Medallion Drive","$1,240,000","34","5","3|0","2,340","7,841 SqFt","San Jose","Res. Single Family","40"
"1","A","ML81577379","4790 Bannock Circle","$1,239,888","8","3","2|0","1,045","5,994 SqFt","San Jose","Res. Single Family","54"
"1","S","ML81518812","1613 Collingwood Avenue","$1,235,000","82","2","2|0","1,506","6,089 SqFt","San Jose","Res. Single Family","62"
"1","S","ML81535039","5102 El Roble Court","$1,235,000","10","4","2|0","1,937","6,233 SqFt","San Jose","Res. Single Family","47"
"1","A","ML81578625","1586 Calle De Stuarda","$1,235,000","1","4","2|0","1,780","5,998 SqFt","San Jose","Res. Single Family","41"
"1","S","ML81521759","5235 Harwood Road","$1,230,000","11","5","3|0","2,074","6,576 SqFt","San Jose","Res. Single Family","46"
"1","S","ML81545999","4720 Torrey Pines Circle","$1,230,000","9","3","3|0","2,079","2,339 SqFt","San Jose","Res. Single Family","9"
"1","AC","ML81550058","1362 Mckendrie Street","$1,230,000","35","4","4|0","2,000","4,487 SqFt","San Jose","Res. Single Family","0"
"1","A","ML81565284","5852 Pistoia Way","$1,230,000","18","2","2|0","1,875","5,001 SqFt","San Jose","Res. Single Family","20"
"1","A","ML81577634","430 Belmont Avenue","$1,228,888","7","3","3|0","1,729","6,070 SqFt","San Jose","Res. Single Family","96"
"1","S","ML81551160","1728 Topeka","$1,227,000","9","3","2|0","1,891","6,750 SqFt","San Jose","Res. Single Family","75"
"1","S","ML81519665","847 Jansen Avenue","$1,225,000","16","3","2|1","1,581","7,573 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81546442","1767 Willowhurst Avenue","$1,225,000","54","3","2|0","1,906","7,000 SqFt","San Jose","Res. Single Family","76"
"1","S","ML81548314","1577 Ilikai Avenue","$1,225,000","10","3","2|0","1,614","6,039 SqFt","San Jose","Res. Single Family","41"
"1","S","ML81549739","961 Leo Drive","$1,225,000","10","3","2|0","1,440","6,238 SqFt","San Jose","Res. Single Family","59"
"1","S","ML81561861","4469 Desin Drive","$1,225,000","9","4","3|0","2,124","5,933 SqFt","San Jose","Res. Single Family","33"
