"","S","MLS #","Street Address","Price","DOM","Beds Total","Bths","Sq Ft Total","Lot Size","Postal City","Property Sub Type","Age"
"1","S","ML81534544","6612 Mount Wellington Drive","$1,425,000","11","4","2|1","2,323","8,004 SqFt","San Jose","Res. Single Family","48"
"1","S","ML81546949","3262 Trajan Court","$1,425,000","9","5","3|0","2,798","7,407 SqFt","San Jose","Res. Single Family","18"
"1","S","ML81547255","5389 Ligurian Drive","$1,425,000","6","4","3|0","2,682","6,600 SqFt","San Jose","Res. Single Family","20"
"1","S","ML81549699","2387 Mazzaglia Avenue","$1,425,000","8","4","3|0","2,200","9,503 SqFt","San Jose","Res. Single Family","60"
"1","A","ML81564075","1575 Sheffield Avenue","$1,425,000","30","4","3|0","2,149","8,328 SqFt","San Jose","Res. Single Family","53"
"1","A","ML81566623","2231 Nola Drive","$1,425,000","14","5","2|1","2,317","6,240 SqFt","San Jose","Res. Single Family","42"
"1","P","ML81565262","1637 Via Campagna","$1,424,000","11","5","3|0","2,525","3,999 SqFt","San Jose","Res. Single Family","19"
"1","S","ML81519982","1546 Bergerac Drive","$1,420,000","6","4","3|0","2,286","5,135 SqFt","San Jose","Res. Single Family","21"
"1","S","ML81534652","924 Morse Street","$1,410,000","6","3","2|1","2,230","8,579 SqFt","San Jose","Res. Single Family","105"
"1","S","ML81522354","1934 Ashland Way","$1,401,500","8","3","2|0","1,541","7,393 SqFt","San Jose","Res. Single Family","57"
"1","S","ML81521731","3951 Mylinda Drive","$1,400,000","26","5","3|0","3,404","14,009 SqFt","San Jose","Res. Single Family","28"
"1","S","ML81521974","6140 Franciscan Court","$1,400,000","10","4","2|1","2,470","10,312 SqFt","San Jose","Res. Single Family","47"
"1","S","ML81522454","1737 Indigo Oak Lane","$1,400,000","48","5","4|0","3,305","5,630 SqFt","San Jose","Res. Single Family","14"
"1","S","ML81533052","4015 Halkins Drive","$1,400,000","16","4","2|1","2,306","6,326 SqFt","San Jose","Res. Single Family","38"
"1","S","ML81546640","1824 Kirkmont Drive","$1,400,000","11","4","2|1","1,882","9,601 SqFt","San Jose","Res. Single Family","52"
"1","S","ML81546804","14945 Standish Drive","$1,400,000","26","4","2|0","2,031","10,123 SqFt","San Jose","Res. Single Family","66"
"1","S","ML81547583","3266 Pearltone Drive","$1,400,000","8","3","2|1","2,077","8,176 SqFt","San Jose","Res. Single Family","53"
"1","S","ML81548017","4948 capistrano Avenue","$1,400,000","6","3","2|0","1,251","7,072 SqFt","San Jose","Res. Single Family","59"
"1","S","ML81549229","3064 Meadowlands Lane","$1,400,000","9","4","4|0","3,168","15,246 SqFt","San Jose","Res. Single Family","28"
"1","S","ML81550084","1641 Marina Way","$1,400,000","3","4","2|0","1,743","10,350 SqFt","San Jose","Res. Single Family","60"
"1","S","ML81561367","3269 Lynn Oaks Drive","$1,400,000","15","5","2|1","2,242","7,150 SqFt","San Jose","Res. Single Family","53"
"1","S","ML81563231","2442 Booksin Avenue","$1,400,000","10","4","2|1","1,887","6,490 SqFt","San Jose","Res. Single Family","52"
"1","P","ML81564115","2188 Nola Drive","$1,399,995","9","4","2|1","2,105","8,024 SqFt","San Jose","Res. Single Family","48"
"1","P","ML81566419","2338 Price Way","$1,399,900","6","4","2|1","2,050","7,993 SqFt","San Jose","Res. Single Family","55"
"1","P","ML81565903","1831 Thyme Creek","$1,399,888","12","5","4|0","2,484","3,354 SqFt","San Jose","Res. Single Family","3"
"1","S","ML81549158","1151 Carolyn Avenue","$1,399,000","5","3","2|0","1,701","6,840 SqFt","San Jose","Res. Single Family","66"
"1","P","ML81561560","6796 Bret Harte Drive","$1,399,000","10","4","2|0","2,448","8,120 SqFt","San Jose","Res. Single Family","47"
"1","A","ML81576699","3223 Cantada Court","$1,399,000","13","3","2|1","2,655","8,320 SqFt","San Jose","Res. Single Family","19"
"1","A","ML81578057","6528 Little Falls Drive","$1,399,000","5","4","2|1","2,207","9,637 SqFt","San Jose","Res. Single Family","51"
"1","P","ML81563674","5085 Elrose Avenue","$1,398,888","20","4","3|0","2,815","5,998 SqFt","San Jose","Res. Single Family","51"
"1","AC","ML81563560","7023 Burnside Drive","$1,398,888","13","4","2|0","2,073","10,624 SqFt","San Jose","Res. Single Family","37"
"1","A","ML81577251","6511 Rainbow Drive","$1,398,888","0","3","2|0","1,271","6,865 SqFt","San Jose","Res. Single Family","58"
"1","AC","ML81550632","6529 Rainbow Drive","$1,398,000","25","3","2|0","1,271","5,510 SqFt","San Jose","Res. Single Family","58"
"1","A","ML81564539","4547 Camden Avenue","$1,398,000","28","5","4|1","2,419","6,000 SqFt","San Jose","Res. Single Family","57"
"1","AC","ML81562517","3413 Royal Meadow Lane","$1,398,000","21","4","2|1","2,247","12,232 SqFt","San Jose","Res. Single Family","26"
"1","AC","ML81565668","4636 Thornhaven Way","$1,398,000","12","4","2|1","2,489","1.56 Acres","San Jose","Res. Single Family","23"
"1","A","ML81578686","1716 Fabian Drive","$1,398,000","34","4","2|1","2,422","8,446 SqFt","San Jose","Res. Single Family","55"
"1","A","ML81577074","17120 Crothers Road","$1,395,000","11","5","4|1","5,085","5.76 Acres","San Jose","Res. Single Family","55"
"1","S","ML81533627","3110 Florence Park Drive","$1,392,000","18","4","3|0","2,663","4,791 SqFt","San Jose","Res. Single Family","19"
"1","P","ML81563146","2681 Thrasher","$1,388,000","12","4","3|0","2,150","9,912 SqFt","San Jose","Res. Single Family","62"
"1","P","ML81564196","6469 Oakcrest Drive","$1,388,000","7","4","3|0","2,488","9,601 SqFt","San Jose","Res. Single Family","51"
