SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,1616 11th St,Oakland,CA,94607-1402,649000,8,3.0,West Oakland,3024,5050,1895,2,Garage,1,Active,,,,,649000,,,http://www.redfin.com/CA/Oakland/1616-11th-St-94607/home/1714878,East Bay Regional Data (EBRD),40733242,"JDK & Associates Realty, Inc.",N,Y,37.809682,-122.296092,false
MLS Listing,Condo/Coop,2586 Foothill Blvd Unit O,Oakland,CA,94601,300000,2,1.5,Alameda County,912,19441,1991,1,Garage,1,Active,,,,,,2014-07-18,167500.0,http://www.redfin.com/CA/Oakland/2586-Foothill-Blvd-94601/unit-O/home/1356122,Bay Area Real Estate Information Services (BAREIS),21605704,Castle Real Estate,N,Y,37.784831,-122.229175,false
MLS Listing,Multi-Family (2-4 Unit),3037 CAPP St,Oakland,CA,94602-2703,819000,9,4.0,Oakland,3692,6500,1963,7,Garage,1,Active,,,,,819000,2009-02-06,400000.0,http://www.redfin.com/CA/Oakland/3037-Capp-St-94602/home/1974888,East Bay Regional Data (EBRD),40733257,EXPRESS HOME FUNDING,N,Y,37.794434,-122.216141,false
MLS Listing,Single Family Residential,1650 67TH Ave,Oakland,CA,94621,375000,3,1.0,Havenscourt,1239,6300,1928,1,Garage,1,Active,2016-04-02,13:00,16:00,,375000,2009-03-10,165000.0,http://www.redfin.com/CA/Oakland/1650-67th-Ave-94621/home/570364,East Bay Regional Data (EBRD),40733280,COMMUNITY REALTY & INVESTMENTS,N,Y,37.763639,-122.188861,false
MLS Listing,Multi-Family (2-4 Unit),1271 84th Ave,Oakland,CA,94621,270000,,,Oakland,2699,5460,1928,1,Garage,1,Active,,,,,270000,2008-11-06,120000.0,http://www.redfin.com/CA/Oakland/1271-84th-Ave-94621/home/583412,East Bay Regional Data (EBRD),40733284,Victoria Properties,N,Y,37.753388,-122.179825,false
MLS Listing,Single Family Residential,2215 E 22 St,Oakland,CA,94606,749000,4,3.0,Highland,2744,5460,2016,2,Garage,1,Active,,,,,749000,2014-10-17,175000.0,http://www.redfin.com/CA/Oakland/2215-E-22nd-St-94606/home/22055270,East Bay Regional Data (EBRD),40733299,YOU & YU ASSOCIATES,N,Y,37.790052,-122.23232,false
MLS Listing,Multi-Family (2-4 Unit),665 39TH St,Oakland,CA,94609,799000,4,4.0,Oakland,2783,4073,1912,1,Garage,1,Active,,,,,799000,2014-10-16,605000.0,http://www.redfin.com/CA/Oakland/665-39th-St-94609/home/1542586,East Bay Regional Data (EBRD),40733309,Realworks Residential,N,Y,37.828872,-122.269291,false
MLS Listing,Single Family Residential,6036 JOHNSTON Dr,Oakland,CA,94611-3143,625000,3,1.5,Montclair,1440,9792,1957,1,Garage,1,Active,2016-03-26,14:00,17:00,,595000,,,http://www.redfin.com/CA/Oakland/6036-Johnston-Dr-94611/home/1097022,East Bay Regional Data (EBRD),40733322,COLDWELL BANKER RESIDENTIAL,N,Y,37.831317,-122.216844,false
MLS Listing,Single Family Residential,1234 53rd,Oakland,CA,94601,425000,3,1.5,Oakland,920,2500,,1,Garage,1,Active,,,,,425000,2015-07-04,192500.0,http://www.redfin.com/CA/Oakland/1234-53rd-Ave-94601/home/550947,San Francisco Association of Realtors (SFARMLS),443447,,N,Y,37.766499,-122.207526,false
MLS Listing,Single Family Residential,9301 EMPIRE Rd,Oakland,CA,94603,279000,3,1.0,E Oakland,1014,4503,1943,1,Garage,1,Active,2016-03-26,13:00,16:30,,279000,2009-09-04,74690.0,http://www.redfin.com/CA/Oakland/9301-Empire-Rd-94603/home/531120,East Bay Regional Data (EBRD),40733336,Bayview Realty & Investment,N,Y,37.734969,-122.194777,false
MLS Listing,Single Family Residential,6639 Armour Dr,Oakland,CA,94611-2235,459000,2,1.0,Montclair,678,5838,1962,1,Garage,1,Active,,,,,459000,2013-04-25,455000.0,http://www.redfin.com/CA/Oakland/6639-Armour-Dr-94611/home/1761981,East Bay Regional Data (EBRD),40733359,BAY SOTHEBY'S INTL REALTY,N,Y,37.835224,-122.20494,false
MLS Listing,Single Family Residential,4432 Tulip Ave,OAKLAND,CA,94619,558888,2,1.0,OAKLAND,840,3300,1927,2,Garage,1,Active,,,,Sign in to see,,2002-05-09,330000.0,http://www.redfin.com/CA/Oakland/4432-Tulip-Ave-94619/home/550817/mlsListings-ML81566489,MLSListings Inc. (MLSLI),ML81566489,Better Homes and Gardens Real Estate J.F. Finnegan,N,Y,37.787893,-122.190604,false
MLS Listing,Single Family Residential,6750 Pinehaven Rd,Oakland,CA,94611,1149900,3,2.5,Montclair,3104,18730,1968,2,Garage,1,Active,,,,,1149900,2005-06-14,959000.0,http://www.redfin.com/CA/Oakland/6750-Pinehaven-Rd-94611/home/625424,East Bay Regional Data (EBRD),40733373,Simple Realty,N,Y,37.847777,-122.208298,false

