prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,890,31st St,Oakland,CA,94608,287,40703413,0,,2728,4791,1907,37.821601,-122.275784,http://www.redfin.com/CA/Oakland/890-31st-St-94608/home/996736,,http://www.zillow.com/homedetails/890-31st-St-Oakland-CA-94608/24741683_zpid/,http://www.zillow.com/homedetails/890-31st-St-Oakland-CA-94608/24741683_zpid/#charts-and-data,http://www.zillow.com/homes/24741683_zpid/,http://www.zillow.com/homes/comps/24741683_zpid/,24741683,636714,04/01/2016,3500,04/05/2016,0,3
redfin,1063,32nd St,Oakland,CA,94608,0,,4,3.0,2455,2100,1900,37.823225,-122.279365,,,http://www.zillow.com/homedetails/1063-32nd-St-Oakland-CA-94608/24740063_zpid/,http://www.zillow.com/homedetails/1063-32nd-St-Oakland-CA-94608/24740063_zpid/#charts-and-data,http://www.zillow.com/homes/24740063_zpid/,http://www.zillow.com/homes/comps/24740063_zpid/,24740063,-1,12/31/1969,,,0.225362908417,0,620000,04/07/2015,3.0,252
redfin,2922,Martin Luther King Jr Way,Oakland,CA,94609,0,,6,3.0,2658,3136,1898,37.819482,-122.270712,,,http://www.zillow.com/homedetails/2922-Martin-Luther-King-Jr-Way-Oakland-CA-94609/24741550_zpid/,http://www.zillow.com/homedetails/2922-Martin-Luther-King-Jr-Way-Oakland-CA-94609/24741550_zpid/#charts-and-data,http://www.zillow.com/homes/24741550_zpid/,http://www.zillow.com/homes/comps/24741550_zpid/,24741550,685162,04/01/2016,,,0.313157720839,0,1187000,02/11/2016,11.0,446
redfin,626,33rd St,Oakland,CA,94609,0,,4,2.0,2585,3750,1898,37.822754,-122.269558,,,http://www.zillow.com/homedetails/626-33rd-St-Oakland-CA-94609/24741974_zpid/,http://www.zillow.com/homedetails/626-33rd-St-Oakland-CA-94609/24741974_zpid/#charts-and-data,http://www.zillow.com/homes/24741974_zpid/,http://www.zillow.com/homes/comps/24741974_zpid/,24741974,633784,04/01/2016,,,0.349015729946,0,600000,02/18/2016,3.0,232
principal_arv,avg $/sqft,rehab_light,rehab_med,rehab_high,mao_light,mao_med,mao_high
845680,310,95480,122760,163680,523780.0,496500.0,455580.0

prop type, address #, address st, city, state, zip, dom, listing_id, beds, baths, sqfootage, lotsize, yearbuilt, latitude, longitude, redfin link, chartlink, homelink, graphlink, maplink, compslink, zpid, zestimate, lastupdated, rentestimate, lastupdated_rent, distance, # hot words, sold price, sold date, comp score, $/sqft
redfin,6923,HAMILTON Ave,Oakland,CA,94621,209,40713951,3,2.0,658,2374,1928,37.758479,-122.192747,http://www.redfin.com/CA/Oakland/6923-Hamilton-St-94621/home/1405046,,http://www.zillow.com/homedetails/6923-Hamilton-St-Oakland-CA-94621/24796221_zpid/,http://www.zillow.com/homedetails/6923-Hamilton-St-Oakland-CA-94621/24796221_zpid/#charts-and-data,http://www.zillow.com/homes/24796221_zpid/,http://www.zillow.com/homes/comps/24796221_zpid/,24796221,255600,04/01/2016,2000,04/05/2016,0,3
redfin,1426,62nd Ave,Oakland,CA,94621,0,,2,1.0,756,3125,1918,37.764232,-122.196352,,,http://www.zillow.com/homedetails/1426-62nd-Ave-Oakland-CA-94621/24788898_zpid/,http://www.zillow.com/homedetails/1426-62nd-Ave-Oakland-CA-94621/24788898_zpid/#charts-and-data,http://www.zillow.com/homes/24788898_zpid/,http://www.zillow.com/homes/comps/24788898_zpid/,24788898,234990,04/01/2016,,,0.443594971459,0,199000,10/02/2015,8.0,263
